	SporangiaReplicate3	SporangiaReplicate2	SporangiaReplicate1	ZoosporeReplicate1	ZoosporeReplicate2	ZoosporeReplicate3
MSTRG.6959.2	0	4.4528238708249	3.6769278378254	3.93854759492748	2.74924617122417	2.42847468869092
rna-XM_006682551.1	0	0	0	0	0	0
MSTRG.6960.1	0	0	0	0	1.37462308561208	0
rna-XM_006682552.1	0	0	0	0	0	0
MSTRG.6961.1	0.66462311559338	0	0	0	0	0
rna-XM_006682629.1	3.98773869356028	2.67169432249494	3.6769278378254	0	2.74924617122417	0
MSTRG.6962.1	0	0	0	0	0	0
MSTRG.6962.2	0	0	0	0	0	0
rna-XM_006682599.1	0	0	0	0	0	0
rna-XM_006682553.1	1.99386934678014	0	0	0.98463689873187	0	0
MSTRG.6964.1	0.66462311559338	0	0	0.98463689873187	0	0
rna-XM_006682554.1	4.65236180915366	11.5773420641447	11.0307835134762	7.87709518985496	13.7462308561208	10.9281360991091
MSTRG.6966.1	2.65849246237352	0	0.919231959456351	1.96927379746374	4.12386925683625	1.21423734434546
MSTRG.6966.2	0	0	0	0	0	0
rna-XM_006682555.1	5.31698492474704	5.34338864498987	3.6769278378254	1.96927379746374	5.49849234244833	2.42847468869092
rna-XM_006682674.1	5.31698492474704	7.12451819331983	3.6769278378254	4.92318449365935	10.9969846848967	4.85694937738184
MSTRG.6968.2	0	0	0	0	0	0
MSTRG.6969.1	3.98773869356028	1.78112954832996	0	1.96927379746374	0	3.64271203303638
MSTRG.6970.1	0	0	0	0	0	0
rna-XM_006682559.1	0	0	0	0	0	0
MSTRG.6971.1	0	0	0	0	0	0
MSTRG.6971.2	0	0	0	0	0	0
rna-XM_006682487.1	0	0	0	0	0	0
rna-XM_006682510.1	0	2.67169432249494	3.6769278378254	3.93854759492748	1.37462308561208	0
MSTRG.6972.2	0	0	0	0	0	0
rna-XM_006682560.1	5.98160804034042	4.4528238708249	5.51539175673811	14.7695534809781	17.8701001129571	9.71389875476367
rna-XM_006682607.1	112.321306535281	104.196078577303	101.115515540199	64.9860353163034	52.2356772532591	49.7837311181638
MSTRG.6975.1	1.32924623118676	0.890564774164979	0	0	0	2.42847468869092
rna-XM_006682675.1	0	0	0	0	0	0
rna-XM_006682501.1	23.2618090457683	28.4980727732793	18.384639189127	7.87709518985496	8.2477385136725	7.28542406607275
MSTRG.6977.1	4.65236180915366	5.34338864498987	11.9500154729326	51.2011187340573	197.94572432814	143.280006632764
MSTRG.6978.1	1.99386934678014	0	1.8384639189127	0	1.37462308561208	0
rna-XM_006682630.1	0	0	0	0	0	0
rna-XM_006682561.1	72.4439195996784	46.3093682565789	47.8000618917303	1.96927379746374	1.37462308561208	2.42847468869092
MSTRG.6980.1	1.99386934678014	1.78112954832996	0	8.86173208858683	19.2447231985692	9.71389875476367
rna-XM_006682608.1	0	0	0	0	0	0
rna-XM_006682600.1	37.2188944732293	30.2792023216093	35.8500464187977	7.87709518985496	2.74924617122417	2.42847468869092
MSTRG.6981.2	0	0	0	0	0	0
rna-XM_006682677.1	9.9693467339007	9.79621251581477	10.1115515540199	16.7388272784418	13.7462308561208	6.07118672172729
MSTRG.6983.1	5.31698492474704	4.4528238708249	0.919231959456351	3.93854759492748	0	3.64271203303638
rna-XM_006682631.1	3.98773869356028	1.78112954832996	5.51539175673811	0	2.74924617122417	0
rna-XM_006682491.2	24.5910552769551	24.9358136766194	32.1731185809723	26.5851962657605	20.6193462841812	23.0705095425637
rna-XM_006682632.1	154.857185933258	181.675213929656	170.057912499425	116.187154050361	82.477385136725	78.9254273824548
MSTRG.6987.1	0	0	0	0.98463689873187	0	0
rna-XM_006682502.1	0	0	0	0	0	0
MSTRG.6988.1	0	1.78112954832996	0.919231959456351	2.95391069619561	0	1.21423734434546
MSTRG.6989.1	0	0.890564774164979	0	2.95391069619561	2.74924617122417	2.42847468869092
MSTRG.6990.1	3.98773869356028	2.67169432249494	7.35385567565081	5.90782139239122	2.74924617122417	2.42847468869092
rna-XM_006682609.1	0	0	0	0	0	0
MSTRG.6991.1	0	0	0	0	4.12386925683625	3.64271203303638
rna-XM_006682678.1	0	0	0	0	0	0
rna-XM_006682583.1	5.31698492474704	0.890564774164979	0	0.98463689873187	4.12386925683625	2.42847468869092
rna-XM_006682490.1	1.32924623118676	0	0	0	1.37462308561208	0
rna-XM_006682568.1	0	0	0	0	0	0
MSTRG.6994.2	0	0	0	0	0	0
MSTRG.6995.1	5.98160804034042	7.12451819331983	3.6769278378254	2.95391069619561	8.2477385136725	8.49966141041821
rna-XM_006682569.1	1.32924623118676	3.56225909665992	0	0.98463689873187	2.74924617122417	3.64271203303638
rna-XM_006682634.1	1.32924623118676	3.56225909665992	1.8384639189127	0	1.37462308561208	2.42847468869092
MSTRG.6998.1	2.65849246237352	1.78112954832996	2.75769587836905	0	12.3716077705087	6.07118672172729
MSTRG.6999.1	0	0	0	0	0	0
rna-XM_006682570.1	0	0	0	0	0	0
rna-XM_006682636.1	0	0	0	0	0	0
